Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
D1,1,Infinity,-Infinity,Infinity
A2,2,-Infinity,-Infinity,Infinity
B3,3,Infinity,-Infinity,Infinity
C3,4,-136,-Infinity,Infinity
B3,3,-136,-Infinity,-136
A4,4,55,-Infinity,-136
B3,3,-136,-Infinity,-136
B4,4,-49,-Infinity,-136
B3,3,-136,-Infinity,-136
D4,4,-160,-Infinity,-136
B3,3,-160,-Infinity,-160
E5,4,103,-Infinity,-160
B3,3,-160,-Infinity,-160
A2,2,-160,-160,Infinity
C3,3,Infinity,-160,Infinity
B3,4,80,-160,Infinity
C3,3,80,-160,80
A4,4,72,-160,80
C3,3,72,-160,72
B4,4,50,-160,72
C3,3,50,-160,50
D4,4,123,-160,50
C3,3,50,-160,50
E5,4,120,-160,50
C3,3,50,-160,50
A2,2,50,50,Infinity
A4,3,Infinity,50,Infinity
B3,4,103,50,Infinity
A4,3,103,50,103
C3,4,-34,50,103
A4,3,-34,50,103
A2,2,50,50,Infinity
B4,3,Infinity,50,Infinity
B3,4,3,50,Infinity
B4,3,3,50,Infinity
A2,2,50,50,Infinity
D4,3,Infinity,50,Infinity
B3,4,100,50,Infinity
D4,3,100,50,100
C3,4,131,50,100
D4,3,100,50,100
A4,4,76,50,100
D4,3,76,50,76
B4,4,54,50,76
D4,3,54,50,54
E5,4,124,50,54
D4,3,54,50,54
A2,2,54,54,Infinity
E5,3,Infinity,54,Infinity
B3,4,55,54,Infinity
E5,3,55,54,55
C3,4,-82,54,55
E5,3,-82,54,55
A2,2,54,54,Infinity
D1,1,54,-Infinity,54
B3,2,-Infinity,-Infinity,54
A2,3,Infinity,-Infinity,54
C3,4,-78,-Infinity,54
A2,3,-78,-Infinity,-78
A4,4,35,-Infinity,-78
A2,3,-78,-Infinity,-78
B4,4,9,-Infinity,-78
A2,3,-78,-Infinity,-78
D4,4,-180,-Infinity,-78
A2,3,-180,-Infinity,-180
E5,4,83,-Infinity,-180
A2,3,-180,-Infinity,-180
B3,2,-180,-180,54
C3,3,Infinity,-180,54
A2,4,174,-180,54
C3,3,174,-180,54
A4,4,140,-180,54
C3,3,140,-180,54
B4,4,118,-180,54
